App;Open;date
youtube;openedApp;2023-04-07T09:46:09Z
mydealz;openedApp;2023-04-07T10:54:05Z
youtube;openedApp;2023-04-07T12:54:19Z
mydealz;openedApp;2023-04-07T15:24:27Z
youtube;openedApp;2023-04-07T15:30:48Z
youtube;openedApp;2023-04-07T18:11:18Z
youtube;openedApp;2023-04-07T18:54:37Z
youtube;openedApp;2023-04-07T20:17:51Z
twitter;openedApp;2023-04-07T20:40:48Z
twitter;dismissedAppOpening;2023-04-07T21:12:05Z
youtube;openedApp;2023-04-07T21:12:13Z
youtube;openedApp;2023-04-08T18:41:46Z
youtube;openedApp;2023-04-08T21:09:05Z
youtube;openedApp;2023-04-08T21:14:55Z
youtube;dismissedAppOpening;2023-04-10T06:55:21Z
youtube;openedApp;2023-04-10T07:11:35Z
youtube;dismissedAppOpening;2023-04-10T08:26:16Z
youtube;dismissedAppOpening;2023-04-10T08:26:24Z
youtube;openedApp;2023-04-10T12:31:19Z
mydealz;dismissedAppOpening;2023-04-10T21:45:11Z
mydealz;dismissedAppOpening;2023-04-11T20:48:28Z
mydealz;dismissedAppOpening;2023-04-11T20:48:32Z
youtube;openedApp;2023-04-11T20:57:33Z
youtube;openedApp;2023-04-11T21:45:21Z
mydealz;dismissedAppOpening;2023-04-12T07:50:54Z
youtube;dismissedAppOpening;2023-04-12T07:51:22Z
youtube;openedApp;2023-04-12T08:01:49Z
mydealz;dismissedAppOpening;2023-04-12T08:50:38Z
youtube;openedApp;2023-04-13T21:24:53Z
youtube;openedApp;2023-04-13T22:12:31Z
youtube;openedApp;2023-04-14T08:50:42Z
youtube;openedApp;2023-04-14T09:01:04Z
youtube;dismissedAppOpening;2023-04-14T09:24:14Z
mydealz;dismissedAppOpening;2023-04-14T12:24:48Z
mydealz;dismissedAppOpening;2023-04-14T13:15:56Z
youtube;openedApp;2023-04-14T13:49:18Z
youtube;openedApp;2023-04-14T13:57:22Z
youtube;openedApp;2023-04-14T14:04:54Z
youtube;openedApp;2023-04-14T14:47:03Z
youtube;openedApp;2023-04-14T16:22:06Z
youtube;openedApp;2023-04-15T07:43:51Z
youtube;openedApp;2023-04-15T10:25:13Z
youtube;openedApp;2023-04-15T13:22:28Z
youtube;openedApp;2023-04-15T13:25:55Z
mydealz;dismissedAppOpening;2023-04-15T13:33:05Z
youtube;openedApp;2023-04-15T21:37:20Z
youtube;openedApp;2023-04-16T08:34:07Z
mydealz;openedApp;2023-04-16T10:10:36Z
youtube;openedApp;2023-04-16T15:10:31Z
youtube;openedApp;2023-04-16T16:04:04Z
youtube;openedApp;2023-04-16T18:27:54Z
youtube;openedApp;2023-04-16T18:51:57Z
youtube;openedApp;2023-04-17T17:18:02Z
youtube;openedApp;2023-04-17T17:24:30Z
youtube;openedApp;2023-04-17T17:49:41Z
youtube;dismissedAppOpening;2023-04-17T18:32:04Z
youtube;dismissedAppOpening;2023-04-17T18:34:43Z
mydealz;dismissedAppOpening;2023-04-17T21:01:55Z
youtube;dismissedAppOpening;2023-04-18T06:42:17Z
youtube;openedApp;2023-04-18T06:47:20Z
mydealz;dismissedAppOpening;2023-04-18T07:19:16Z
mydealz;openedApp;2023-04-18T13:25:00Z
youtube;openedApp;2023-04-18T14:59:48Z
mydealz;openedApp;2023-04-18T18:40:29Z
mydealz;dismissedAppOpening;2023-04-18T18:42:29Z
youtube;openedApp;2023-04-18T19:41:08Z
youtube;openedApp;2023-04-18T20:32:51Z
youtube;dismissedAppOpening;2023-04-19T15:39:59Z
youtube;openedApp;2023-04-19T15:40:08Z
youtube;openedApp;2023-04-20T07:01:04Z
youtube;openedApp;2023-04-20T15:07:35Z
youtube;openedApp;2023-04-20T15:26:53Z
youtube;dismissedAppOpening;2023-04-20T15:35:08Z
youtube;dismissedAppOpening;2023-04-20T15:36:46Z
mydealz;openedApp;2023-04-20T15:46:20Z
youtube;dismissedAppOpening;2023-04-20T15:47:59Z
youtube;openedApp;2023-04-20T15:48:11Z
mydealz;openedApp;2023-04-20T21:33:42Z
youtube;dismissedAppOpening;2023-04-21T07:24:14Z
youtube;openedApp;2023-04-21T07:24:22Z
twitter;openedApp;2023-04-21T08:46:41Z
youtube;dismissedAppOpening;2023-04-21T09:05:17Z
youtube;openedApp;2023-04-21T09:05:47Z
youtube;openedApp;2023-04-21T09:09:32Z
youtube;openedApp;2023-04-21T09:45:02Z
youtube;openedApp;2023-04-21T14:25:14Z
youtube;openedApp;2023-04-21T18:13:27Z
youtube;openedApp;2023-04-21T18:50:59Z
youtube;openedApp;2023-04-21T21:41:50Z
youtube;dismissedAppOpening;2023-04-22T10:24:03Z
youtube;openedApp;2023-04-22T15:15:03Z
mydealz;openedApp;2023-04-22T21:12:22Z
mydealz;openedApp;2023-04-22T21:14:44Z
youtube;openedApp;2023-04-22T21:30:21Z
mydealz;openedApp;2023-04-22T21:56:29Z
mydealz;openedApp;2023-04-22T22:04:57Z
youtube;openedApp;2023-04-23T09:00:06Z
youtube;dismissedAppOpening;2023-04-23T09:03:21Z
youtube;dismissedAppOpening;2023-04-23T11:20:16Z
youtube;dismissedAppOpening;2023-04-23T11:20:20Z
youtube;openedApp;2023-04-23T11:20:29Z
youtube;dismissedAppOpening;2023-04-23T11:23:04Z
youtube;dismissedAppOpening;2023-04-23T11:23:06Z
youtube;openedApp;2023-04-23T15:00:01Z
youtube;openedApp;2023-04-23T15:53:26Z
youtube;openedApp;2023-04-23T15:57:30Z
youtube;dismissedAppOpening;2023-04-23T16:06:08Z
youtube;dismissedAppOpening;2023-04-23T16:06:10Z
youtube;dismissedAppOpening;2023-04-23T16:06:12Z
youtube;openedApp;2023-04-23T16:11:50Z
youtube;openedApp;2023-04-24T14:45:32Z
youtube;dismissedAppOpening;2023-04-24T15:00:51Z
youtube;dismissedAppOpening;2023-04-24T15:00:53Z
youtube;openedApp;2023-04-24T17:07:12Z
youtube;openedApp;2023-04-25T14:36:48Z
youtube;dismissedAppOpening;2023-04-25T15:52:58Z
youtube;openedApp;2023-04-25T16:36:24Z
mydealz;openedApp;2023-04-25T17:21:10Z
youtube;openedApp;2023-04-25T18:45:42Z
youtube;openedApp;2023-04-25T19:34:35Z
mydealz;dismissedAppOpening;2023-04-26T09:02:06Z
youtube;openedApp;2023-04-26T13:15:38Z
youtube;openedApp;2023-04-26T13:17:46Z
youtube;openedApp;2023-04-27T06:19:12Z
youtube;dismissedAppOpening;2023-04-28T16:57:55Z
youtube;openedApp;2023-04-28T20:06:22Z
youtube;dismissedAppOpening;2023-04-28T20:27:30Z
youtube;openedApp;2023-04-28T20:38:56Z
