ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Whatsapp,Messenger,Communication ICT,540,3
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,DBNavigator,Mobility,Other,300,1
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,180,3
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,180,3
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,MensaDarmstadt,Food,Other,120,7
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,eBayKleinanzeigen,Shopping ,Entertainment,60,1
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Instagram,Social Media,Social Media,60,1
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,onesec,Health / Wellbeing,Other,60,4
hwyr5z1l,2023-05-02 00:00:00+00:00,phone,app,ios,Erinnerungen,System,Other,60,1
hwyr5z1l,2023-05-02 00:00:00+00:00,tablet,app,ios,NotabilityUni,Study / Learning,Study / Work ICT,4140,2
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,2520,9
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,1020,34
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,480,23
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,360,10
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,300,4
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,BeReal,Social Media,Social Media,240,2
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,180,3
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,DBNavigator,Mobility,Other,180,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Instagram,Social Media,Social Media,180,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Maps,Navigation,Other,120,2
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,GoogleMaps,Navigation,Other,120,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Telegram,Messenger,Communication ICT,120,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Formula1,Sport,Other,120,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,60,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,60,1
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Bolt,Mobility,Other,60,4
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Foodji,Food,Other,60,2
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,Wetter,News,Entertainment,60,5
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,cityFlitzer,Mobility,Other,120,2
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,app,ios,nextbike,Mobility,Other,60,4
hwyr5z1l,2023-05-03 00:00:00+00:00,phone,website,ios,google.de,Web Browser / Search Machine ,Other,540,
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,3360,13
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,2580,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,960,25
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,960,34
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Einstellungen,System,Other,840,8
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,840,24
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Whatsapp,Messenger,Communication ICT,420,12
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Instagram,Social Media,Social Media,420,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Snapchat,Social Media,Social Media,360,5
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Bereal,Social Media,Social Media,360,6
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Fotos,Photos,Entertainment,360,7
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,240,5
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Amazon,Shopping ,Entertainment,180,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,MensaDarmstadt,Food,Other,180,4
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Dateien,System,Other,180,3
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Ebay,Shopping ,Entertainment,120,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Jlaw,Study / Learning,Study / Work ICT,60,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,AppStore,Shopping ,Entertainment,60,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,60,2
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,onesec,Health / Wellbeing,Other,60,1
hwyr5z1l,2023-05-04 00:00:00+00:00,phone,app,ios,AirGuard,System,Other,180,1
hwyr5z1l,2023-05-04 00:00:00+00:00,tablet,app,ios,NotabilityUni,Study / Learning,Study / Work ICT,9840,3
hwyr5z1l,2023-05-04 00:00:00+00:00,tablet,app,ios,Jlaw,Study / Learning,Study / Work ICT,2460,1
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Maps,Navigation,Other,2100,3
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,1380,15
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,900,27
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,600,1
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,540,27
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,LidlPlus,Food,Other,360,7
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,300,8
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,240,9
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,240,5
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Wikipedia,Research,Study / Work ICT,240,1
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Erinnerungen,System,Other,120,4
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,HEalth,Health / Wellbeing,Other,60,1
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,nextbike,Mobility,Other,60,5
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Wetter,News,Entertainment,60,4
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,BeReal,Social Media,Social Media,60,1
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Uhr,System,Other,60,2
hwyr5z1l,2023-05-05 00:00:00+00:00,phone,app,ios,Woist?,System,Other,60,1
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Einstellungen (Bildschirmzeit),System,Other,4140,7
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,1140,15
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,1080,7
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Dateien,System,Other,1080,1
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,mydealz,Shopping ,Entertainment,660,1
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,600,28
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,540,9
hwyr5z1l,2023-05-06 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,360,7
